Disease	gene
Amyotrophic lateral sclerosis/motor neuron disease	ALS2
Amyotrophic lateral sclerosis/motor neuron disease	ANG
Amyotrophic lateral sclerosis/motor neuron disease	AR
Amyotrophic lateral sclerosis/motor neuron disease	DCTN1
Amyotrophic lateral sclerosis/motor neuron disease	FIG4
Amyotrophic lateral sclerosis/motor neuron disease	FUS
Amyotrophic lateral sclerosis/motor neuron disease	HNRNPA1
Amyotrophic lateral sclerosis/motor neuron disease	OPTN
Amyotrophic lateral sclerosis/motor neuron disease	PFN1
Amyotrophic lateral sclerosis/motor neuron disease	SETX
Amyotrophic lateral sclerosis/motor neuron disease	SIGMAR1
Amyotrophic lateral sclerosis/motor neuron disease	SLC52A2
Amyotrophic lateral sclerosis/motor neuron disease	SLC52A3
Amyotrophic lateral sclerosis/motor neuron disease	SOD1
Amyotrophic lateral sclerosis/motor neuron disease	TARDBP
Amyotrophic lateral sclerosis/motor neuron disease	TBK1
Amyotrophic lateral sclerosis/motor neuron disease	UBQLN2
Amyotrophic lateral sclerosis/motor neuron disease	VAPB
Amyotrophic lateral sclerosis/motor neuron disease	VCP
Arthrogryposis	MYMK
Arthrogryposis	SELENON
Arthrogryposis	ACTA1
Arthrogryposis	ADAMTS10
Arthrogryposis	ADGRG6
Arthrogryposis	ANTXR2
Arthrogryposis	ASCC1
Arthrogryposis	ASXL1
Arthrogryposis	B3GALNT2
Arthrogryposis	B4GAT1
Arthrogryposis	CHAT
Arthrogryposis	CHRNA1
Arthrogryposis	CHRNB1
Arthrogryposis	CHRND
Arthrogryposis	CHRNE
Arthrogryposis	CHRNG
Arthrogryposis	CHST14
Arthrogryposis	CNTNAP1
Arthrogryposis	COL12A1
Arthrogryposis	COL6A1
Arthrogryposis	COL6A2
Arthrogryposis	COL6A3
Arthrogryposis	COLQ
Arthrogryposis	CRLF1
Arthrogryposis	DAG1
Arthrogryposis	DNM2
Arthrogryposis	DOK7
Arthrogryposis	ECEL1
Arthrogryposis	ERCC6
Arthrogryposis	ERCC8
Arthrogryposis	EXOSC3
Arthrogryposis	FAM20C
Arthrogryposis	FBN2
Arthrogryposis	FGFR2
Arthrogryposis	FGFR3
Arthrogryposis	FKBP10
Arthrogryposis	FKRP
Arthrogryposis	FKTN
Arthrogryposis	FLNB
Arthrogryposis	GBA
Arthrogryposis	GBE1
Arthrogryposis	GLDN
Arthrogryposis	GLE1
Arthrogryposis	GMPPB
Arthrogryposis	HSPG2
Arthrogryposis	IRF6
Arthrogryposis	ISPD
Arthrogryposis	KAT6B
Arthrogryposis	KIAA1109
Arthrogryposis	KLHL40
Arthrogryposis	KLHL41
Arthrogryposis	KLHL7
Arthrogryposis	LAMA2
Arthrogryposis	LARGE1
Arthrogryposis	LGI4
Arthrogryposis	LMOD3
Arthrogryposis	MTM1
Arthrogryposis	MUSK
Arthrogryposis	MYBPC1
Arthrogryposis	MYH2
Arthrogryposis	MYH3
Arthrogryposis	MYH7
Arthrogryposis	MYH8
Arthrogryposis	NALCN
Arthrogryposis	NEB
Arthrogryposis	PEX1
Arthrogryposis	PEX10
Arthrogryposis	PEX11B
Arthrogryposis	PEX12
Arthrogryposis	PEX13
Arthrogryposis	PEX14
Arthrogryposis	PEX16
Arthrogryposis	PEX19
Arthrogryposis	PEX2
Arthrogryposis	PEX26
Arthrogryposis	PEX3
Arthrogryposis	PEX5
Arthrogryposis	PEX6
Arthrogryposis	PEX7
Arthrogryposis	PFKM
Arthrogryposis	PIEZO2
Arthrogryposis	PLOD1
Arthrogryposis	PLOD2
Arthrogryposis	POMGNT1
Arthrogryposis	POMGNT2
Arthrogryposis	POMK
Arthrogryposis	POMT1
Arthrogryposis	POMT2
Arthrogryposis	POR
Arthrogryposis	PRG4
Arthrogryposis	RAPSN
Arthrogryposis	RIPK4
Arthrogryposis	RYR1
